Food Item,Size,Price,Category
Ultimate Steak,Footlong,$11.49,Subway Sandwich Menu
Ultimate Steak,Six Inch,$7.29,Subway Sandwich Menu
Meatball Marinara,Footlong,$7.29,Subway Sandwich Menu
Meatball Marinara,Six Inch,$4.99,Subway Sandwich Menu
Spicy Italian,Footlong,$8.49,Subway Sandwich Menu
Spicy Italian,Six Inch,$5.99,Subway Sandwich Menu
B.L.T,Footlong,$8.49,Subway Sandwich Menu
B.L.T,Six Inch,$5.29,Subway Sandwich Menu
Black Forest Ham,Footlong,$6.49,Subway Sandwich Menu
Black Forest Ham,Six Inch,$4.99,Subway Sandwich Menu
Chicken Caesar Melt,Footlong,$7.79,Subway Sandwich Menu
Chicken Caesar Melt,Six Inch,$4.79,Subway Sandwich Menu
Cold Cut Combo,Footlong,$4.99,Subway Sandwich Menu
Cold Cut Combo,Six Inch,$3.99,Subway Sandwich Menu
Italian B.M.T.,Footlong,$8.49,Subway Sandwich Menu
Italian B.M.T.,Six Inch,$5.29,Subway Sandwich Menu
Meatball Marinara,Footlong,$5.29,Subway Sandwich Menu
Meatball Marinara,Six Inch,$3.99,Subway Sandwich Menu
Pizza Sub Melt,Footlong,$7.49,Subway Sandwich Menu
Pizza Sub Melt,Six Inch,$4.99,Subway Sandwich Menu
Roast Beef,Footlong,$9.49,Subway Sandwich Menu
Roast Beef,Six Inch,$6.29,Subway Sandwich Menu
Rotisserie-Style Chicken,Footlong,$8.49,Subway Sandwich Menu
Rotisserie-Style Chicken,Six Inch,$5.29,Subway Sandwich Menu
Rotisserie-Style Chicken & Bacon Melt,Footlong,$9.49,Subway Sandwich Menu
Rotisserie-Style Chicken & Bacon Melt,Six Inch,$6.29,Subway Sandwich Menu
Spicy Italian,Footlong,$6.49,Subway Sandwich Menu
Spicy Italian,Six Inch,$4.99,Subway Sandwich Menu
Steak & Cheese,Footlong,$9.49,Subway Sandwich Menu
Steak & Cheese,Six Inch,$6.29,Subway Sandwich Menu
Subway Club,Footlong,$9.49,Subway Sandwich Menu
Subway Club,Six Inch,$6.29,Subway Sandwich Menu
Subway Melt,Footlong,$9.49,Subway Sandwich Menu
Subway Melt,Six Inch,$6.29,Subway Sandwich Menu
Sweet Onion Chicken Teriyaki,Footlong,$8.49,Subway Sandwich Menu
Sweet Onion Chicken Teriyaki,Six Inch,$5.29,Subway Sandwich Menu
Tuna,Footlong,$8.49,Subway Sandwich Menu
Tuna,Six Inch,$5.29,Subway Sandwich Menu
Turkey & Bacon Guacamole,Footlong,$11.49,Subway Sandwich Menu
Turkey Breast,Footlong,$8.49,Subway Sandwich Menu
Turkey Breast,Six Inch,$5.29,Subway Sandwich Menu
Veggie Delite,Footlong,$4.99,Subway Sandwich Menu
Veggie Delite,Six Inch,$3.49,Subway Sandwich Menu
B.L.T. Signature Wrap,,$6.99,Subway Signature Wraps
Black Forest Ham Signature Wrap,,$6.99,Subway Signature Wraps
Cold Cut Combo Signature Wrap,,$6.99,Subway Signature Wraps
Italian B.M.T. Signature Wrap,,$6.99,Subway Signature Wraps
Meatball Marinara Signature Wrap,,$6.99,Subway Signature Wraps
Roast Beef Signature Wrap,,$6.99,Subway Signature Wraps
Rotisserie-Style Chicken Signature Wrap,,$6.99,Subway Signature Wraps
Savory Rotisserie-Style Chicken Caesar Signature Wrap,,$6.99,Subway Signature Wraps
Spicy Italian Signature Wrap,,$6.99,Subway Signature Wraps
Steak & Cheese Signature Wrap,,$7.49,Subway Signature Wraps
Subway Club Signature Wrap,,$6.99,Subway Signature Wraps
Subway Melt Signature Wrap,,$6.99,Subway Signature Wraps
Sweet Onion Chicken Teriyaki Signature Wrap,,$6.99,Subway Signature Wraps
Tuna Signature Wrap,,$6.99,Subway Signature Wraps
Turkey Breast & Black Forest Ham Signature Wrap,,$6.99,Subway Signature Wraps
Turkey Breast Signature Wrap,,$6.99,Subway Signature Wraps
Turkey Italiano Melt Signature Wrap,,$6.99,Subway Signature Wraps
"Turkey, Bacon & Guacamole Signature Wrap",,$7.29,Subway Signature Wraps
Veggie Delite Signature Wrap,,$5.99,Subway Signature Wraps
"Bacon, Egg & Cheese Signature Wrap",,$6.99,Subway Breakfast Menu
"Black Forest Ham, Egg & Cheese Signature Wrap",,$6.99,Subway Breakfast Menu
Egg & Cheese Signature Wrap,,$6.99,Subway Breakfast Menu
"Steak, Egg & Cheese Signature Wrap",,$6.99,Subway Breakfast Menu
"Bacon, Egg & Cheese",Footlong,$6.49,Subway Breakfast Menu
"Bacon, Egg & Cheese",Six Inch,$4.29,Subway Breakfast Menu
"Black Forest Ham, Egg & Cheese",Footlong,$6.49,Subway Breakfast Menu
