Name,Calories,Price,Type,Size,Genre,Location,img_path
Pepperoni Slice,600,$3.99 ,Classic,-,Pizza,PizzaPizza,static/image_folder/pizza.png
Cheese,510,$3.99 ,Classic ,-,Pizza,PizzaPizza,static/image_folder/pizza.png
Hawaiian,600,$4.59 ,Premium,-,Pizza,PizzaPizza,static/image_folder/pizza.png
Chicken,680,$4.59 ,Premium,-,Pizza,PizzaPizza,static/image_folder/pizza.png
Meat Lovers,670,$4.59 ,Premium,-,Pizza,PizzaPizza,static/image_folder/pizza.png
Veggie Medley,550,$4.59 ,Premium,-,Pizza,PizzaPizza,static/image_folder/pizza.png
Super plant,610,$4.59 ,Premium,-,Pizza,PizzaPizza,static/image_folder/pizza.png
Fountain,300,$3.00 ,Fountain,-,Pizza,PizzaPizza,static/image_folder/pizza.png
Black Forest Ham,520,$6.49 ,Subway Sandwich Menu,Footlong,Sandwich,Subway,static/image_folder/sub.png
Black Forest Ham,260,$4.99 ,Subway Sandwich Menu,Six Inch,Sandwich,Subway,static/image_folder/sub.png
Roast Beef,520,$9.49 ,Subway Sandwich Menu,Footlong,Sandwich,Subway,static/image_folder/sub.png
Roast Beef,260,$6.29 ,Subway Sandwich Menu,Six Inch,Sandwich,Subway,static/image_folder/sub.png
Subway Club,540,$9.49 ,Subway Sandwich Menu,Footlong,Sandwich,Subway,static/image_folder/sub.png
Subway Club,270,$6.29 ,Subway Sandwich Menu,Six Inch,Sandwich,Subway,static/image_folder/sub.png
Sweet Onion Chicken Teriyaki,660,$8.49 ,Subway Sandwich Menu,Footlong,Sandwich,Subway,static/image_folder/sub.png
Sweet Onion Chicken Teriyaki,330,$5.29 ,Subway Sandwich Menu,Six Inch,Sandwich,Subway,static/image_folder/sub.png
Turkey Breast,500,$8.49 ,Subway Sandwich Menu,Footlong,Sandwich,Subway,static/image_folder/sub.png
Turkey Breast,250,$5.29 ,Subway Sandwich Menu,Six Inch,Sandwich,Subway,static/image_folder/sub.png
Veggie Delite,400,$4.99 ,Subway Sandwich Menu,Footlong,Sandwich,Subway,static/image_folder/sub.png
Veggie Delite,200,$3.49 ,Subway Sandwich Menu,Six Inch,Sandwich,Subway,static/image_folder/sub.png
Cold Cut Combo,800,$4.99 ,Subway Sandwich Menu,Footlong,Sandwich,Subway,static/image_folder/sub.png
Cold Cut Combo,400,$3.99 ,Subway Sandwich Menu,Six Inch,Sandwich,Subway,static/image_folder/sub.png
Italian B.M.T.,800,$8.49 ,Subway Sandwich Menu,Footlong,Sandwich,Subway,static/image_folder/sub.png
Italian B.M.T.,400,$5.29 ,Subway Sandwich Menu,Six Inch,Sandwich,Subway,static/image_folder/sub.png
Meatball Marinara,800,$7.29 ,Subway Sandwich Menu,Footlong,Sandwich,Subway,static/image_folder/sub.png
Meatball Marinara,400,$4.99 ,Subway Sandwich Menu,Six Inch,Sandwich,Subway,static/image_folder/sub.png
Meatball Marinara,800,$5.29 ,Subway Sandwich Menu,Footlong,Sandwich,Subway,static/image_folder/sub.png
Meatball Marinara,400,$3.99 ,Subway Sandwich Menu,Six Inch,Sandwich,Subway,static/image_folder/sub.png
Pizza Sub Melt,800,$7.49 ,Subway Sandwich Menu,Footlong,Sandwich,Subway,static/image_folder/sub.png
Pizza Sub Melt,400,$4.99 ,Subway Sandwich Menu,Six Inch,Sandwich,Subway,static/image_folder/sub.png
Steak & Cheese,800,$9.49 ,Subway Sandwich Menu,Footlong,Sandwich,Subway,static/image_folder/sub.png
Steak & Cheese,400,$6.29 ,Subway Sandwich Menu,Six Inch,Sandwich,Subway,static/image_folder/sub.png
