Name,Calories,Price,Type,Size
Black Forest Ham,520.0,$6.49,Subway Sandwich Menu,Footlong
Black Forest Ham,260.0,$4.99,Subway Sandwich Menu,Six Inch
Roast Beef,520.0,$9.49,Subway Sandwich Menu,Footlong
Roast Beef,260.0,$6.29,Subway Sandwich Menu,Six Inch
Subway Club,540.0,$9.49,Subway Sandwich Menu,Footlong
Subway Club,270.0,$6.29,Subway Sandwich Menu,Six Inch
Sweet Onion Chicken Teriyaki,660.0,$8.49,Subway Sandwich Menu,Footlong
Sweet Onion Chicken Teriyaki,330.0,$5.29,Subway Sandwich Menu,Six Inch
Turkey Breast,500.0,$8.49,Subway Sandwich Menu,Footlong
Turkey Breast,250.0,$5.29,Subway Sandwich Menu,Six Inch
Veggie Delite,400.0,$4.99,Subway Sandwich Menu,Footlong
Veggie Delite,200.0,$3.49,Subway Sandwich Menu,Six Inch
Cold Cut Combo,800.0,$4.99,Subway Sandwich Menu,Footlong
Cold Cut Combo,400.0,$3.99,Subway Sandwich Menu,Six Inch
Italian B.M.T.,800.0,$8.49,Subway Sandwich Menu,Footlong
Italian B.M.T.,400.0,$5.29,Subway Sandwich Menu,Six Inch
Meatball Marinara,800.0,$7.29,Subway Sandwich Menu,Footlong
Meatball Marinara,400.0,$4.99,Subway Sandwich Menu,Six Inch
Meatball Marinara,800.0,$5.29,Subway Sandwich Menu,Footlong
Meatball Marinara,400.0,$3.99,Subway Sandwich Menu,Six Inch
Pizza Sub Melt,800.0,$7.49,Subway Sandwich Menu,Footlong
Pizza Sub Melt,400.0,$4.99,Subway Sandwich Menu,Six Inch
Steak & Cheese,800.0,$9.49,Subway Sandwich Menu,Footlong
Steak & Cheese,400.0,$6.29,Subway Sandwich Menu,Six Inch
Tuna,800.0,$8.49,Subway Sandwich Menu,Footlong
Tuna,400.0,$5.29,Subway Sandwich Menu,Six Inch
Black Forest Ham,800.0,$6.49,Subway Sandwich Menu,Footlong
Black Forest Ham,400.0,$4.99,Subway Sandwich Menu,Six Inch
Roast Beef,800.0,$9.49,Subway Sandwich Menu,Footlong
Roast Beef,400.0,$6.29,Subway Sandwich Menu,Six Inch
Turkey Breast,800.0,$8.49,Subway Sandwich Menu,Footlong
Turkey Breast,400.0,$5.29,Subway Sandwich Menu,Six Inch
Veggie Delite,800.0,$4.99,Subway Sandwich Menu,Footlong
Veggie Delite,400.0,$3.49,Subway Sandwich Menu,Six Inch
Black Forest Ham,270.0,$4.99,Subway Kids Meal,nan
Roast Beef,280.0,$4.99,Subway Kids Meal,nan
Turkey Breast,280.0,$4.99,Subway Kids Meal,nan
Veggie Delite,240.0,$4.99,Subway Kids Meal,nan
Black Forest Ham,110.0,$7.78,Subway Chopped Salads Menu,nan
Roast Beef,120.0,$8.78,Subway Chopped Salads Menu,nan
Subway Club,130.0,$8.78,Subway Chopped Salads Menu,nan
Turkey Breast,110.0,$7.78,Subway Chopped Salads Menu,nan
Veggie Delite,60.0,$5.98,Subway Chopped Salads Menu,nan
Cold Cut Combo,260.0,$6.48,Subway Chopped Salads Menu,nan
Italian B.M.T.,240.0,$7.78,Subway Chopped Salads Menu,nan
Meatball Marinara,290.0,$6.48,Subway Chopped Salads Menu,nan
Steak & Cheese,200.0,$8.78,Subway Chopped Salads Menu,nan
Tuna,310.0,$7.78,Subway Chopped Salads Menu,nan
"Bacon, Egg & Cheese",860.0,$6.49,Subway Breakfast Menu,Footlong
"Bacon, Egg & Cheese",430.0,$4.29,Subway Breakfast Menu,Six Inch
Egg & Cheese,780.0,$4.99,Subway Breakfast Menu,Footlong
Egg & Cheese,390.0,$3.99,Subway Breakfast Menu,Six Inch
